constant,ascii,description,custom_description
K_BACKSPACE,\b,backspace,Backspace
K_TAB,\t,tab,Tab
K_CLEAR,,clear,
K_RETURN,\r,return,Return
K_PAUSE,,pause,
K_ESCAPE,^[,escape,Esc
K_SPACE,,space,Space
K_EXCLAIM,!,exclaim,
K_QUOTEDBL,"""",quotedbl,
K_HASH,#,hash,
K_DOLLAR,$,dollar,
K_AMPERSAND,&,ampersand,
K_QUOTE,',quote,
K_LEFTPAREN,(,left parenthesis,
K_RIGHTPAREN,),right parenthesis,
K_ASTERISK,*,asterisk,
K_PLUS,+,plus sign,
K_COMMA,",",comma,
K_MINUS,-,minus sign,
K_PERIOD,.,period,
K_SLASH,/,forward slash,
K_0,0,0,
K_1,1,1,
K_2,2,2,
K_3,3,3,
K_4,4,4,
K_5,5,5,
K_6,6,6,
K_7,7,7,
K_8,8,8,
K_9,9,9,
K_COLON,:,colon,
K_SEMICOLON,;,semicolon,
K_LESS,<,less-than sign,
K_EQUALS,"= ",equals sign,
K_GREATER,>,greater-than sign,
K_QUESTION,?,question mark,
K_AT,@,at,
K_LEFTBRACKET,[,left bracket,
K_BACKSLASH,\,backslash,
K_RIGHTBRACKET,],right bracket,
K_CARET,^,caret,
K_UNDERSCORE,_,underscore,
K_BACKQUOTE,`,grave,
K_a,a,a,A
K_b,b,b,B
K_c,c,c,C
K_d,d,d,D
K_e,e,e,E
K_f,f,f,F
K_g,g,g,G
K_h,h,h,H
K_i,i,i,I
K_j,j,j,J
K_k,k,k,K
K_l,l,l,L
K_m,m,m,M
K_n,n,n,N
K_o,o,o,O
K_p,p,p,P
K_q,q,q,Q
K_r,r,r,R
K_s,s,s,S
K_t,t,t,T
K_u,u,u,U
K_v,v,v,V
K_w,w,w,W
K_x,x,x,X
K_y,y,y,Y
K_z,z,z,Z
K_DELETE,,delete,Delete
K_KP0,,keypad 0,Keypad 0
K_KP1,,keypad 1,Keypad 1
K_KP2,,keypad 2,Keypad 2
K_KP3,,keypad 3,Keypad 3
K_KP4,,keypad 4,Keypad 4
K_KP5,,keypad 5,Keypad 5
K_KP6,,keypad 6,Keypad 6
K_KP7,,keypad 7,Keypad 7
K_KP8,,keypad 8,Keypad 8
K_KP9,,keypad 9,Keypad 9
K_KP_PERIOD,.,keypad period,Keypad .
K_KP_DIVIDE,/,keypad divide,Keypad /
K_KP_MULTIPLY,*,keypad multiply,Keypad *
K_KP_MINUS,-,keypad minus,Keypad -
K_KP_PLUS,+,keypad plus,Keypad +
K_KP_ENTER,\r,keypad enter,Keypad Enter
K_KP_EQUALS,=,keypad equals,Keypad =
K_UP,,up arrow,Up Arrow
K_DOWN,,down arrow,Down Arrow
K_RIGHT,,right arrow,Right Arrow
K_LEFT,,left arrow,Left Arrow
K_INSERT,,insert,Insert
K_HOME,,home,Home
K_END,,end,End
K_PAGEUP,,page up,Page Up
K_PAGEDOWN,,page down,Page Down
K_F1,,F1,
K_F2,,F2,
K_F3,,F3,
K_F4,,F4,
K_F5,,F5,
K_F6,,F6,
K_F7,,F7,
K_F8,,F8,
K_F9,,F9,
K_F10,,F10,
K_F11,,F11,
K_F12,,F12,
K_F13,,F13,
K_F14,,F14,
K_F15,,F15,
K_NUMLOCK,,numlock,Num Lock
K_CAPSLOCK,,capslock,Caps Lock
K_SCROLLOCK,,scrollock,Scroll Lock
K_RSHIFT,,right shift,Right Shift
K_LSHIFT,,left shift,Left Shift
K_RCTRL,,right control,Right Control
K_LCTRL,,left control,Left Control
K_RALT,,right alt,Right Alt
K_LALT,,left alt,Left Alt
K_RMETA,,right meta,Right Meta
K_LMETA,,left meta,Left Meta
K_LSUPER,,left Windows key,Left Windows
K_RSUPER,,right Windows key,Right Windows
K_MODE,,mode shift,
K_HELP,,help,Help
K_PRINT,,print screen,Print Screen
K_SYSREQ,,sysrq,
K_BREAK,,break,
K_MENU,,menu,
K_POWER,,power,
K_EURO,,Euro,
K_AC_BACK,,Android back button,
M_0,,,Mouse 1
M_1,,,Mouse 2
M_2,,,Mouse 3
M_3,,,Mouse 4
M_4,,,Mouse 5
